run_id,configuration_id,dataset_index,true_label,repetition,execution_order,encrypt_seconds,act3_fc2_seconds,decrypt_seconds,online_total_seconds
1078,least_squares_d5_I2,259,6,4,1078,0.012535700006992556,0.21994989999802783,0.007893700007116422,0.2403793000121368
1079,chebyshev_d3_I1,586,0,11,1079,0.009407599995029159,0.16845159999502357,0.00786300000618212,0.18572219999623485
1080,chebyshev_d5_I1,586,0,6,1080,0.012486699997680262,0.22026580000238027,0.007782300002872944,0.24053480000293348
1081,chebyshev_d5_I2,481,9,1,1081,0.012623200003872626,0.22072539999498986,0.00787020000279881,0.2412188000016613
1082,least_squares_d5_I1,589,4,25,1082,0.012557200010633096,0.22371780000685249,0.00801540000247769,0.24429040001996327
1083,chebyshev_d5_I2,411,7,8,1083,0.012990200004423968,0.22382119999383576,0.00779030000558123,0.24460170000384096
1084,least_squares_d5_I1,633,2,19,1084,0.0123611000017263,0.2440840999915963,0.00859860000491608,0.2650437999982387
1085,chebyshev_d5_I1,589,4,4,1085,0.012905199997476302,0.22956379999232013,0.00789690000237897,0.2503658999921754
1086,least_squares_d3_I1,411,7,24,1086,0.00973639999574516,0.17641630000434816,0.008355099998880178,0.1945077999989735
1087,least_squares_d5_I2,411,7,3,1087,0.012796800001524389,0.22900219999428373,0.00827779999235645,0.25007679998816457
1088,chebyshev_d5_I2,120,5,29,1088,0.012949500000104308,0.2234247000014875,0.007720400011749007,0.24409460001334082
1089,chebyshev_d3_I1,411,7,7,1089,0.009514799996395595,0.16735570000309963,0.007783799999742769,0.184654299999238
1090,least_squares_d5_I2,112,3,3,1090,0.012693900003796443,0.2194318999972893,0.00789979999535717,0.2400255999964429
1091,chebyshev_d3_I1,112,3,3,1091,0.009273900010157377,0.1675456000084523,0.007808299997122958,0.18462780001573265
1092,chebyshev_d3_I1,120,5,0,1092,0.009502600005362183,0.1692728000052739,0.007680399998207577,0.18645580000884365
1093,chebyshev_d5_I1,120,5,14,1093,0.012401200001477264,0.21953299999586307,0.00773990000016056,0.2396740999975009
1094,least_squares_d5_I2,120,5,3,1094,0.012314200008404441,0.21889260000898503,0.007719300003373064,0.23892610002076253
